step, lh, rh, depth, grow
0, root, root_a, 0, 1
1, backbone, backbone_a, 1, 1
2, head, head_a, 1, 1
3, tail, tail_a, 1, 1
4, blocksr, blocksr_b, 2, 1
5, body, body_a, 2, 1
6, body, body_c, 2, 1
7, pool, pool_a, 2, 1
8, block, block_a, 3, 1
9, body, body_c, 3, 1
10, block, block_c, 3, 1
11, block, block_c, 3, 1
12, body, body_e, 3, 1
13, block, block_c, 4, 1
14, block, block_a, 4, 1
15, block, block_f, 4, 0
16, block, block_f, 4, 0
17, body, body_b, 4, 0
18, block, block_f, 4, 0
19, block, block_b, 4, 0
20, block, block_f, 4, 0
21, body, body_b, 4, 0
22, block, block_e, 4, 0
23, block, block_b, 4, 0
24, block, block_e, 5, 0
25, block, block_b, 5, 0
26, block, block_f, 5, 0
27, block, block_f, 5, 0
28, block, block_b, 5, 0
29, block, block_b, 5, 0
