step, lh, rh, depth, grow
0, root, root_a, 0, 1
1, backbone, backbone_b, 1, 1
2, head, head_b, 1, 1
3, tail, tail_a, 1, 1
4, blocksr, blocksr_a, 2, 1
5, blocksr, blocksr_a, 2, 1
6, body, body_e, 2, 1
7, body, body_e, 2, 1
8, body, body_a, 2, 1
9, pool, pool_a, 2, 1
10, block, block_a, 3, 1
11, body, body_a, 3, 1
12, block, block_a, 3, 1
13, body, body_a, 3, 1
14, block, block_a, 3, 1
15, body, body_b, 3, 0
16, block, block_f, 4, 0
17, body, body_b, 4, 0
18, block, block_b, 4, 0
19, block, block_f, 4, 0
20, block, block_f, 4, 0
21, block, block_e, 4, 0
22, block, block_e, 4, 0
23, body, body_b, 4, 0
24, block, block_f, 4, 0
25, block, block_e, 4, 0
26, block, block_b, 4, 0
27, block, block_e, 5, 0
28, block, block_f, 5, 0
